Date,country,league,Season,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,home_close,home_open,draw_close,draw_open,away_close,away_open,over_2.5_close,over_2.5_open,under_2.5_close,under_2.5_open,bts_yes_close,bts_yes_open,bts_no_close,bts_no_open
2009-08-01 20:00:00,belgium,jupiler-pro-league,2009-2010,Lokeren,Waregem,1,1,1,0,2.41,2.31,3.22,3.25,2.78,2.96,2.0,2.01,1.8,1.79,,,,
2009-08-02 18:00:00,belgium,jupiler-pro-league,2009-2010,Charleroi,Club Brugge,1,2,1,2,2.42,2.46,3.21,3.22,2.78,2.72,1.93,1.94,1.89,1.88,,,,
2009-08-09 20:30:00,belgium,jupiler-pro-league,2009-2010,Club Brugge,Lokeren,2,0,0,0,1.61,1.57,3.54,3.61,5.43,5.78,1.76,1.75,2.03,2.04,,,,
2009-08-15 20:00:00,belgium,jupiler-pro-league,2009-2010,KV Mechelen,Club Brugge,2,1,1,0,2.75,2.86,3.21,3.24,2.43,2.37,1.76,1.75,2.01,2.03,,,,
2009-08-22 20:00:00,belgium,jupiler-pro-league,2009-2010,Gent,Lokeren,4,1,1,0,1.51,1.53,3.8,3.74,6.52,6.32,1.75,1.75,2.04,2.05,,,,
2009-08-23 18:00:00,belgium,jupiler-pro-league,2009-2010,Club Brugge,Kortrijk,2,2,1,2,1.37,1.37,4.33,4.44,8.07,8.35,1.67,1.68,2.15,2.15,,,,
2009-08-30 18:00:00,belgium,jupiler-pro-league,2009-2010,Cercle Brugge,Club Brugge,2,3,2,1,3.52,2.79,3.32,3.1,1.99,2.17,1.74,1.77,2.62,2.51,,,,
2009-09-13 18:00:00,belgium,jupiler-pro-league,2009-2010,Beerschot,Lokeren,2,1,1,1,1.86,1.91,3.31,3.27,4.02,3.79,2.37,2.32,1.82,1.85,,,,
2009-09-19 20:00:00,belgium,jupiler-pro-league,2009-2010,Lokeren,St. Liege,1,3,1,3,4.21,4.59,3.36,3.44,1.81,1.71,1.83,1.73,1.91,2.06,,,,
2009-09-20 18:00:00,belgium,jupiler-pro-league,2009-2010,Westerlo,Club Brugge,1,4,1,2,3.6,3.65,3.29,3.33,1.96,1.92,1.86,1.73,1.88,2.06,,,,
2009-09-23 20:30:00,belgium,jupiler-pro-league,2009-2010,Club Brugge,Waregem,3,1,1,1,1.53,1.51,3.78,3.8,5.74,5.92,1.59,1.6,3.38,3.37,,,,
2009-09-26 20:00:00,belgium,jupiler-pro-league,2009-2010,Lokeren,Charleroi,4,1,2,0,2.14,2.17,3.25,3.24,3.22,3.11,2.01,1.92,1.84,1.9,,,,
2009-10-03 20:00:00,belgium,jupiler-pro-league,2009-2010,KV Mechelen,Lokeren,2,0,1,0,1.94,1.94,3.29,3.28,3.74,3.68,1.69,1.71,2.38,2.33,,,,
2009-10-04 16:00:00,belgium,jupiler-pro-league,2009-2010,Club Brugge,Anderlecht,4,2,3,1,2.3,2.42,3.22,3.19,2.9,2.72,1.71,1.7,2.07,2.09,,,,
2009-10-17 20:00:00,belgium,jupiler-pro-league,2009-2010,Lokeren,Cercle Brugge,1,1,0,0,2.09,2.12,3.28,3.24,3.33,3.22,1.72,1.7,2.08,2.14,,,,
2009-10-18 20:30:00,belgium,jupiler-pro-league,2009-2010,Club Brugge,Gent,1,0,0,0,1.73,1.65,3.47,3.42,4.61,4.82,1.54,1.52,2.39,2.42,,,,
2009-10-23 20:30:00,belgium,jupiler-pro-league,2009-2010,Lokeren,Genk,0,2,0,0,2.47,2.3,3.23,3.08,2.69,2.63,1.75,1.74,2.06,2.07,,,,
2009-10-25 18:00:00,belgium,jupiler-pro-league,2009-2010,KSV Roeselare,Club Brugge,2,3,0,2,6.73,5.85,4.09,3.68,1.45,1.46,1.57,1.55,2.32,2.38,,,,
2009-10-31 20:00:00,belgium,jupiler-pro-league,2009-2010,Club Brugge,St. Truiden,1,0,0,0,1.24,1.24,5.42,4.71,10.86,9.14,1.5,1.52,2.51,2.32,,,,
2009-10-31 20:00:00,belgium,jupiler-pro-league,2009-2010,Anderlecht,Lokeren,2,0,1,0,1.27,1.24,5.09,4.75,9.93,9.11,1.56,1.53,2.33,2.29,,,,
2009-11-07 20:00:00,belgium,jupiler-pro-league,2009-2010,Lokeren,Kortrijk,0,0,0,0,1.95,1.91,3.3,3.14,3.71,3.38,1.87,1.76,1.91,1.99,,,,
2009-11-08 20:30:00,belgium,jupiler-pro-league,2009-2010,St. Liege,Club Brugge,3,1,3,0,2.23,2.1,3.23,3.09,3.1,2.97,1.83,1.78,1.96,1.97,,,,
2010-07-30 20:30:00,belgium,jupiler-pro-league,2010-2011,St. Liege,Waregem,1,1,0,1,1.68,1.82,3.55,3.43,4.92,4.16,2.0,1.9,1.83,1.9,,,,
2010-07-31 20:00:00,belgium,jupiler-pro-league,2010-2011,Anderlecht,Eupen,4,1,0,1,1.16,1.19,6.44,5.53,15.42,10.98,1.46,1.46,2.63,2.27,,,,
2010-07-31 20:00:00,belgium,jupiler-pro-league,2010-2011,Kortrijk,Club Brugge,1,0,0,0,3.75,3.15,3.35,3.15,1.93,1.99,1.77,1.68,2.1,2.02,,,,
2010-07-31 20:00:00,belgium,jupiler-pro-league,2010-2011,KV Mechelen,Lokeren,2,0,0,0,2.08,1.73,3.2,3.25,3.45,4.11,1.88,1.71,1.92,1.93,,,,
2010-07-31 20:00:00,belgium,jupiler-pro-league,2010-2011,St. Truiden,Lierse SK (inactive od 2018),1,0,1,0,2.24,1.94,3.23,3.13,3.05,3.32,1.97,1.83,1.89,1.86,,,,
2010-07-31 20:00:00,belgium,jupiler-pro-league,2010-2011,Westerlo,Gent,0,1,0,0,2.98,2.9,3.19,3.1,2.3,2.13,2.03,1.92,1.77,1.71,,,,
2010-08-01 18:00:00,belgium,jupiler-pro-league,2010-2011,Cercle Brugge,Charleroi,1,1,1,0,1.88,1.79,3.31,3.45,4.04,4.23,1.9,1.82,1.88,1.97,,,,
2010-08-01 20:30:00,belgium,jupiler-pro-league,2010-2011,Genk,Beerschot,2,1,1,1,1.73,1.99,3.46,3.27,4.53,3.52,1.96,1.97,1.81,1.8,,,,
