Date,country,league,Season,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,home_close,home_open,draw_close,draw_open,away_close,away_open,over_2.5_close,over_2.5_open,under_2.5_close,under_2.5_open,bts_yes_close,bts_yes_open,bts_no_close,bts_no_open
2009-08-08 21:00:00,france,ligue-1,2009-2010,Valenciennes,Nancy,1,3,1,1,2.18,2.22,3.0,3.01,3.58,3.47,2.54,2.49,1.48,1.51,,,,
2009-08-08 21:00:00,france,ligue-1,2009-2010,St Etienne,Nice,0,2,0,1,2.01,1.97,3.1,3.14,3.95,4.13,2.41,2.38,1.53,1.55,,,,
2009-08-08 21:00:00,france,ligue-1,2009-2010,Rennes,Boulogne,3,0,2,0,1.5,1.49,3.79,3.77,7.15,7.13,2.12,2.15,1.69,1.68,,,,
2009-08-08 21:00:00,france,ligue-1,2009-2010,Montpellier,PSG,1,1,0,0,3.44,3.37,3.06,3.04,2.21,2.25,2.26,2.26,1.6,1.61,,,,
2009-08-08 21:00:00,france,ligue-1,2009-2010,Monaco,Toulouse,1,0,1,0,2.49,2.39,2.98,3.0,3.01,3.18,2.45,2.42,1.51,1.53,,,,
2009-08-08 21:00:00,france,ligue-1,2009-2010,Le Mans,Lyon,2,2,1,1,3.98,3.84,3.16,3.12,1.99,2.03,2.23,2.24,1.63,1.64,,,,
2009-08-08 21:00:00,france,ligue-1,2009-2010,Grenoble,Marseille,0,2,0,1,5.11,4.89,3.38,3.3,1.72,1.79,2.22,2.2,1.62,1.64,,,,
2009-08-08 21:00:00,france,ligue-1,2009-2010,Auxerre,Sochaux,0,1,0,1,2.08,2.09,3.06,3.08,3.78,3.79,2.62,2.55,1.51,1.52,,,,
2009-08-09 17:00:00,france,ligue-1,2009-2010,Lille,Lorient,1,2,0,1,1.68,1.73,3.43,3.36,5.45,5.31,2.22,2.21,1.64,1.64,,,,
2009-08-09 21:00:00,france,ligue-1,2009-2010,Bordeaux,Lens,4,1,1,1,1.44,1.48,3.97,3.9,8.29,7.98,2.11,2.12,1.7,1.7,,,,
2009-08-15 19:00:00,france,ligue-1,2009-2010,Lens,Auxerre,2,0,1,0,2.23,2.24,3.01,2.99,3.44,3.42,2.38,2.31,1.56,1.59,,,,
2009-08-15 19:00:00,france,ligue-1,2009-2010,Lorient,Montpellier,2,2,0,0,1.89,1.88,3.17,3.2,4.36,4.41,2.46,2.48,1.58,1.59,,,,
2009-08-15 19:00:00,france,ligue-1,2009-2010,Lyon,Valenciennes,1,0,1,0,1.32,1.32,4.79,4.78,9.89,9.64,1.97,1.98,1.83,1.83,,,,
2009-08-15 19:00:00,france,ligue-1,2009-2010,Nancy,Monaco,4,0,2,0,2.18,2.2,3.01,3.0,3.55,3.42,2.44,2.44,1.53,1.54,,,,
2009-08-15 19:00:00,france,ligue-1,2009-2010,Sochaux,Bordeaux,2,3,0,2,3.85,3.91,3.13,3.18,2.05,2.02,2.23,2.22,1.63,1.62,,,,
2009-08-15 19:00:00,france,ligue-1,2009-2010,PSG,Le Mans,3,1,1,1,1.59,1.61,3.57,3.53,6.16,6.08,2.11,2.13,1.7,1.69,,,,
2009-08-15 21:00:00,france,ligue-1,2009-2010,Toulouse,St Etienne,3,1,1,1,1.82,1.86,3.27,3.24,4.64,4.51,2.42,2.42,1.55,1.56,,,,
2009-08-16 17:00:00,france,ligue-1,2009-2010,Boulogne,Grenoble,2,1,2,0,2.33,2.35,2.96,2.96,3.27,3.26,2.36,2.36,1.55,1.55,,,,
2009-08-16 17:00:00,france,ligue-1,2009-2010,Nice,Rennes,1,1,1,1,2.51,2.47,2.94,2.96,2.99,3.02,2.42,2.39,1.54,1.55,,,,
2009-08-16 21:00:00,france,ligue-1,2009-2010,Marseille,Lille,1,0,1,0,1.66,1.68,3.5,3.51,5.5,5.37,2.03,2.06,1.75,1.75,,,,
2009-08-22 19:00:00,france,ligue-1,2009-2010,Auxerre,Lyon,0,3,0,2,4.08,3.96,3.25,3.23,1.93,1.95,2.61,2.59,1.55,1.56,,,,
2009-08-22 19:00:00,france,ligue-1,2009-2010,St Etienne,Boulogne,0,1,0,1,1.71,1.73,3.36,3.31,5.4,5.36,2.36,2.37,1.64,1.64,,,,
2009-08-22 19:00:00,france,ligue-1,2009-2010,Le Mans,Nancy,2,1,1,0,2.35,2.33,3.01,3.04,3.2,3.17,2.35,2.36,1.56,1.56,,,,
2009-08-22 19:00:00,france,ligue-1,2009-2010,Montpellier,Sochaux,2,0,0,0,2.24,2.28,3.02,3.0,3.44,3.33,2.39,2.4,1.53,1.54,,,,
2009-08-22 19:00:00,france,ligue-1,2009-2010,Valenciennes,PSG,2,3,0,1,3.63,3.51,3.01,3.0,2.16,2.19,3.16,3.15,1.52,1.53,,,,
2009-08-22 19:00:00,france,ligue-1,2009-2010,Monaco,Lorient,2,0,2,0,2.04,2.04,3.11,3.12,3.87,3.84,2.25,2.26,1.59,1.59,,,,
2009-08-22 21:00:00,france,ligue-1,2009-2010,Rennes,Marseille,1,1,1,0,3.25,3.18,3.05,3.05,2.31,2.34,2.25,2.24,1.62,1.63,,,,
2009-08-23 17:00:00,france,ligue-1,2009-2010,Grenoble,Lens,1,2,1,1,2.5,2.5,2.92,2.93,3.03,3.01,2.51,2.45,1.49,1.52,,,,
2009-08-23 17:00:00,france,ligue-1,2009-2010,Bordeaux,Nice,4,0,1,0,1.43,1.47,4.0,3.93,8.35,7.81,2.01,2.04,1.78,1.76,,,,
2009-08-23 21:00:00,france,ligue-1,2009-2010,Lille,Toulouse,1,1,1,0,1.98,2.0,3.13,3.11,4.06,4.03,2.8,2.78,1.55,1.56,,,,
2009-08-29 19:00:00,france,ligue-1,2009-2010,Boulogne,Auxerre,0,0,0,0,2.55,2.33,2.97,2.9,2.93,2.86,2.52,2.48,1.5,1.52,,,,
2009-08-29 19:00:00,france,ligue-1,2009-2010,St Etienne,Grenoble,1,0,1,0,1.71,1.68,3.36,3.21,5.36,4.78,2.4,2.46,1.55,1.53,,,,
2009-08-29 19:00:00,france,ligue-1,2009-2010,Sochaux,Monaco,1,0,1,0,2.16,2.09,3.03,2.95,3.58,3.28,2.29,2.29,1.59,1.59,,,,
2009-08-29 19:00:00,france,ligue-1,2009-2010,Nice,Montpellier,0,3,0,1,1.97,1.87,3.11,3.06,4.14,3.91,2.59,2.6,1.58,1.58,,,,
