Date,country,league,Season,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,home_close,home_open,draw_close,draw_open,away_close,away_open,over_2.5_close,over_2.5_open,under_2.5_close,under_2.5_open
2009-07-31 20:45:00,netherlands,eredivisie,2009-2010,Heerenveen,Roda,0,0,0,0,1.42,1.42,4.15,4.12,7.48,7.46,1.49,1.51,2.6,2.55
2009-08-01 18:45:00,netherlands,eredivisie,2009-2010,Willem II,Vitesse,3,1,2,0,2.99,2.86,3.3,3.31,2.25,2.32,1.85,1.83,1.92,1.95
2009-08-01 19:45:00,netherlands,eredivisie,2009-2010,Heracles,AZ Alkmaar,3,2,1,0,6.1,6.32,3.68,3.73,1.55,1.51,1.7,1.71,2.08,2.08
2009-08-01 19:45:00,netherlands,eredivisie,2009-2010,Sparta Rotterdam,Twente,0,2,0,1,4.08,4.55,3.3,3.42,1.88,1.78,1.7,1.67,2.08,2.13
2009-08-01 20:45:00,netherlands,eredivisie,2009-2010,Waalwijk,Utrecht,0,1,0,1,2.72,2.83,3.29,3.29,2.44,2.38,1.85,1.84,2.07,2.08
2009-08-02 14:30:00,netherlands,eredivisie,2009-2010,Feyenoord,Nijmegen,2,0,1,0,1.59,1.62,3.61,3.6,5.57,5.37,1.67,1.68,2.15,2.14
2009-08-02 14:30:00,netherlands,eredivisie,2009-2010,Den Haag,NAC Breda,1,2,0,1,3.0,2.93,3.28,3.28,2.26,2.31,1.72,1.74,2.05,2.04
2009-08-02 14:30:00,netherlands,eredivisie,2009-2010,Groningen,Ajax,0,2,0,1,3.48,3.54,3.38,3.37,2.01,2.0,1.62,1.63,2.21,2.22
2009-08-02 16:30:00,netherlands,eredivisie,2009-2010,PSV,Venlo,3,3,2,0,1.14,1.15,7.0,6.87,15.79,14.58,1.38,1.4,3.68,3.66
2009-08-07 18:00:00,netherlands,eredivisie,2009-2010,Nijmegen,Heerenveen,4,1,1,0,2.47,2.51,3.3,3.28,2.68,2.64,1.68,1.69,2.14,2.15
2009-08-07 20:45:00,netherlands,eredivisie,2009-2010,AZ Alkmaar,Sparta Rotterdam,2,0,1,0,1.26,1.27,5.25,5.2,10.68,10.74,1.45,1.46,2.57,2.57
2009-08-08 18:45:00,netherlands,eredivisie,2009-2010,Ajax,Waalwijk,4,1,1,1,1.14,1.16,6.84,6.87,14.64,14.72,1.39,1.41,2.91,2.86
2009-08-08 19:45:00,netherlands,eredivisie,2009-2010,Roda,Groningen,1,1,1,1,2.44,2.57,3.31,3.29,2.72,2.6,1.96,1.98,1.85,1.84
2009-08-09 12:30:00,netherlands,eredivisie,2009-2010,Vitesse,Feyenoord,0,0,0,0,2.73,2.76,3.29,3.31,2.44,2.4,1.72,1.74,2.07,2.06
2009-08-09 12:30:00,netherlands,eredivisie,2009-2010,NAC Breda,Heracles,0,0,0,0,1.6,1.58,3.66,3.69,5.41,5.49,1.65,1.67,2.18,2.17
2009-08-09 14:30:00,netherlands,eredivisie,2009-2010,Venlo,Den Haag,2,2,1,2,1.74,1.78,3.55,3.52,4.46,4.35,1.62,1.64,3.47,3.43
2009-08-09 14:30:00,netherlands,eredivisie,2009-2010,Utrecht,Willem II,1,0,1,0,1.55,1.57,3.72,3.68,5.9,5.88,1.76,1.79,2.06,2.02
2009-08-09 14:30:00,netherlands,eredivisie,2009-2010,Twente,PSV,1,1,1,1,2.41,2.47,3.28,3.28,2.79,2.73,2.01,1.98,1.83,1.85
